State,State Abbreviation,,State of emergency issued,State of emergency lifted,Date closed K-12 public schools,Closed day cares,Reopen day cares,Date banned visitors to nursing homes,Stay at home/ shelter in place,End/relax stay at home/shelter in place,Closed other non-essential businesses,Closed businesses overnight,Began to reopen businesses,Religious gatherings exempt without clear social distance mandate*,Face mask mandate in public spaces,Face mask mandate x2,Face mask mandate enforced by fines,Face mask mandate enforced by criminal charge/citation,No legal enforcement of face mask mandate,Ended face mask mandate,Ended face mask mandate x2,Liquor stores remained open,Allowed restaurants to sell takeout alcohol,Allowed restaurants to deliver alcohol,Firearm sellers remained open,Cannabis dispensaries considered essential business,Closed restaurants except take out,Reopen restaurants,Initially reopen restaurants for outdoor dining only,Closed gyms,Reopened gyms,Closed movie theaters,Reopened movie theaters,Closed Bars,Reopen bars,Reopened hair salons/barber shops,Reopened religious gatherings,Reopened other non-essential retail,Allowed businesses to reopen overnight,Began to reclose bars,Closed bars (x2),Closed movie theaters (x2),Closed hair salons/barber shops (x2),Closed gyms (x2),Closed restaurants (x2),Reopened restaurants (x2),Reopened bars (x2),Reopened gyms (x2),Reopened movie theaters (x2),Closed bars (x3),Closed restaurants (x3),Reopened bars (x3),Reopened restaurants (x3),Mandate quarantine for those entering the state from specific settings,Mandate quarantine for all individuals entering the state,Date all mandated quarantines ended,Population 2018 ,Were there casino(s) in State? (Land and Non-Land based),State has at least one Indian/Alaska Native reservation,Closed casinos,Reopened casinos,Closed casinos (x2),Reopened casinos (x2),Mention of tribal casinos
category,n/a,,state_of_emergency,state_of_emergency,physical_distance_closure,physical_distance_closure,Reopening,physical_distance_closure,shelter,shelter,physical_distance_closure,physical_distance_closure,reopening,shelter,masks,masks,masks,masks,masks,masks,masks,alcohol_firearms,alcohol_firearms,alcohol_firearms,alcohol_firearms,physical_distance_closures,physical_distance_closures,reopening,reopening,physical_distance_closures,reopening,physical_distance_closures,reopening,physical_distance_closures,reopening,reopening,reopening,reopening,reopening,second_closures,second_closures,second_closures,second_closures,second_closures,second_closures,second_closures,second_closures,second_closures,second_closures,third_closures,third_closures,third_closures,third_closures,quarantines,quarantines,quarantines,state_characteristics,state_characteristics,state_characteristics,physical_distance_closures,reopening,second_closures,second_closures,physical_distance_closures
type,note,,start,end,start,start,end,start,start,end,start,start,end,attribute,start,start,attribute,attribute,attribute,end,end,attribute,start,start,attribute,attribute,start,end,attribute,start,end,start,end,start,end,end,end,end,end,start,start,start,start,start,start,end,end,end,end,start,start,end,end,start,start,end,quantity,attribute,attribute,start,end,start,end,attribute
unit,text,,date,date,date,date,date,date,date,date,date,end,date,flag,date,date,flag,flag,flag,date,date,flag,date,date,flag,flag,date,date,flag,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,date,people,flag,flag,date,date,date,date,flag
Alabama,AL,,03/13/2020,0,03/20/2020,03/20/2020,05/23/2020,03/19/2020,04/04/2020,04/30/2020,03/28/2020,0,04/30/2020,0,07/16/2020,0,0,0,1,04/09/2021,0,1,03/24/2020,03/24/2020,1,.,03/19/2020,05/11/2020,0,03/28/2020,05/11/2020,03/28/2020,05/22/2020,03/19/2020,05/11/2020,05/11/2020,05/11/2020,04/30/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4887871,1,1,03/28/2020,05/22/2020,0,0,0
Alaska,AK,,03/11/2020,04/30/2021,03/16/2020,0,0,0,03/28/2020,04/24/2020,03/24/2020,0,04/24/2020,0,04/24/2020,0,1,1,0,05/22/2020,0,1,03/17/2020,03/17/2020,1,1,03/18/2020,04/24/2020,0,03/18/2020,05/08/2020,03/18/2020,05/08/2020,03/18/2020,05/08/2020,04/24/2020,05/08/2020,04/24/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/25/2020,02/14/2021,737438,0,1,0,0,0,0,0
Arizona,AZ,,03/11/2020,0,03/16/2020,0,0,0,03/31/2020,05/16/2020,03/31/2020,0,05/08/2020,1,0,0,0,0,1,03/25/2021,0,1,03/19/2020,03/19/2020,1,1,03/21/2020,05/11/2020,0,03/21/2020,05/13/2020,03/21/2020,05/16/2020,03/21/2020,05/16/2020,05/08/2020,0,05/08/2020,0,06/29/2020,06/29/2020,06/29/2020,0,06/29/2020,0,0,03/25/2021,0,0,0,0,0,0,04/09/2020,0,05/12/2020,7171646,1,1,0,0,0,0,0
Arkansas,AR,,03/11/2020,0,03/17/2020,0,0,03/13/2020,0,0,04/06/2020,11/19/2020,05/04/2020,0,07/20/2020,0,1,1,0,03/30/2021,0,1,03/19/2020,03/19/2020,1,0,03/20/2020,05/11/2020,0,03/20/2020,05/04/2020,03/20/2020,05/18/2020,03/20/2020,05/19/2020,05/06/2020,0,05/18/2020,01/03/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05/05/2020,0,06/15/2020,3013825,1,0,03/17/2020,05/18/2020,0,0,0
California,CA,,03/04/2020,0,03/23/2020,0,0,0,03/19/2020,01/25/2021,03/19/2020,11/21/2020,05/08/2020,0,06/18/2020,0,0,0,1,0,0,1,03/19/2020,03/19/2020,0,1,03/16/2020,05/18/2020,0,03/19/2020,04/15/2021,03/19/2020,04/15/2021,03/16/2020,0,08/28/2020,05/25/2020,05/08/2020,01/25/2021,0,0,0,0,0,07/13/2020,04/15/2021,0,0,0,0,0,0,0,0,0,0,39557045,1,1,0,0,0,0,0
Colorado,CO,,03/11/2020,0,03/23/2020,0,0,03/12/2020,03/26/2020,04/27/2020,03/19/2020,0,05/01/2020,1,07/16/2020,0,0,1,0,05/15/2021,0,1,03/20/2020,03/20/2020,1,1,03/17/2020,05/27/2020,0,03/17/2020,06/04/2020,03/17/2020,06/18/2020,03/17/2020,06/18/2020,05/01/2020,06/04/2020,05/01/2020,0,06/30/2020,06/30/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5695564,1,1,03/17/2020,0,0,0,0
Connecticut,CT,,03/10/2020,0,03/17/2020,0,0,03/09/2020,0,05/20/2020,03/23/2020,11/02/2020,05/20/2020,0,04/20/2020,0,1,0,0,0,0,1,03/19/2020,04/24/2020,1,1,03/16/2020,05/20/2020,1,03/16/2020,06/17/2020,03/16/2020,06/17/2020,03/16/2020,05/19/2021,06/01/2020,05/29/2020,05/20/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06/25/2020,0,03/19/2021,3572665,1,1,0,0,0,0,1
Delaware,DE,,03/13/2020,0,03/16/2020,04/06/2020,06/15/2020,0,03/24/2020,06/01/2020,03/24/2020,12/14/2020,05/08/2020,1,04/28/2020,0,1,1,0,05/21/2021,0,1,03/18/2020,0,1,1,03/16/2020,06/01/2020,0,03/19/2020,06/01/2020,03/19/2020,06/01/2020,03/16/2020,06/15/2020,06/08/2020,05/20/2020,05/20/2020,01/08/2021,07/03/2020,0,0,0,0,0,0,09/04/2020,0,0,0,0,0,0,0,03/30/2020,06/01/2020,967171,1,0,03/16/2020,06/01/2020,0,0,0
District of Columbia,DC,,03/11/2020,0,03/16/2020,0,0,0,04/01/2020,05/29/2020,03/25/2020,11/23/2020,05/29/2020,0,07/22/2020,0,1,0,0,0,0,1,03/17/2020,03/17/2020,0,1,03/16/2020,05/29/2020,1,03/17/2020,06/22/2020,03/17/2020,06/22/2020,03/16/2020,05/29/2020,05/29/2020,06/22/2020,06/22/2020,05/21/2021,12/23/2020,12/23/2020,0,0,0,12/23/2020,01/22/2021,01/22/2021,0,0,0,0,0,0,07/27/2020,0,05/21/2021,"702,455",0,0,0,0,0,0,0
Florida,FL,,03/09/2020,0,03/17/2020,0,0,03/15/2020,04/03/2020,05/18/2020,04/03/2020,0,05/18/2020,1,0,0,0,0,1,0,0,1,03/20/2020,03/20/2020,1,1,04/03/2020,05/18/2020,0,04/03/2020,05/18/2020,04/03/2020,06/05/2020,03/17/2020,06/05/2020,05/11/2020,0,05/18/2020,0,06/26/2020,06/26/2020,0,0,0,0,0,09/14/2020,0,0,0,0,0,0,03/24/2020,0,08/05/2020,21299325,1,1,0,0,0,0,0
Georgia,GA,,03/14/2020,0,03/18/2020,0,0,04/03/2020,04/03/2020,05/01/2020,04/03/2020,0,05/01/2020,0,0,0,0,0,1,05/01/2021,0,1,03/24/2020,0,1,0,04/03/2020,04/27/2020,0,04/03/2020,04/24/2020,04/03/2020,04/27/2020,03/24/2020,06/01/2020,04/24/2020,0,04/23/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10519475,1,1,0,0,0,0,0
Hawaii,HI,,03/04/2020,0,03/16/2020,0,0,03/17/2020,03/25/2020,05/31/2020,03/25/2020,0,05/07/2020,0,11/16/2020,0,1,1,0,0,0,1,04/16/2020,04/16/2020,1,1,03/17/2020,06/05/2020,0,03/25/2020,06/19/2020,03/17/2020,06/19/2020,03/17/2020,06/26/2020,05/29/2020,05/18/2020,05/07/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/26/2020,0,1420491,0,0,0,0,0,0,0
Idaho,ID,,03/13/2020,0,03/24/2020,0,0,0,03/25/2020,05/01/2020,03/25/2020,0,05/01/2020,0,0,0,0,0,1,0,0,1,03/23/2020,03/23/2020,1,.,03/25/2020,05/16/2020,0,03/25/2020,05/16/2020,03/25/2020,05/30/2020,03/25/2020,05/30/2020,05/16/2020,05/01/2020,05/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/15/2020,05/16/2020,1754208,1,1,0,0,0,0,0
Illinois,IL,,03/09/2020,0,03/17/2020,03/23/2020,05/29/2020,0,03/21/2020,05/29/2020,03/21/2020,0,05/29/2020,0,05/01/2020,0,1,1,0,0,0,1,03/16/2020,03/16/2020,1,1,03/16/2020,05/29/2020,1,03/21/2020,05/29/2020,03/21/2020,06/26/2020,03/16/2020,06/26/2020,05/29/2020,05/01/2020,05/29/2020,0,11/20/2020,11/20/2020,11/20/2020,0,0,11/20/2020,02/04/2021,02/04/2021,0,02/04/2021,0,0,0,0,0,0,0,12741080,1,0,03/16/2020,07/01/2020,11/20/2020,01/23/2021,0
Indiana,IN,,03/06/2020,0,03/20/2020,0,0,0,03/25/2020,05/18/2020,03/25/2020,0,05/18/2020,0,07/27/2020,0,0,0,1,04/06/2021,0,1,03/23/2020,0,1,0,03/16/2020,05/18/2020,0,03/25/2020,06/01/2020,03/25/2020,06/12/2020,03/16/2020,06/12/2020,05/18/2020,05/08/2020,05/18/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6691878,1,0,03/16/2020,06/15/2020,0,0,0
Iowa,IA,,03/09/2020,0,04/02/2020,0,0,0,0,0,03/26/2020,11/17/2020,05/15/2020,0,11/17/2020,0,1,0,0,02/07/2021,0,1,03/20/2020,03/20/2020,1,0,03/17/2020,05/15/2020,0,03/17/2020,05/15/2020,03/17/2020,05/22/2020,03/17/2020,05/28/2020,05/15/2020,05/01/2020,05/15/2020,12/10/2020,08/27/2020,0,0,0,0,0,0,10/05/2020,0,0,0,0,0,0,0,0,0,3156145,1,1,03/16/2020,06/01/2020,0,0,0
Kansas,KS,,03/12/2020,0,03/18/2020,0,0,0,03/30/2020,05/04/2020,03/30/2020,0,05/04/2020,1,07/03/2020,0,1,0,0,04/01/2021,0,1,03/18/2020,0,1,.,03/30/2020,05/04/2020,0,03/30/2020,05/18/2020,03/30/2020,05/22/2020,03/30/2020,06/08/2020,05/18/2020,05/04/2020,05/04/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/23/2020,0,0,2911505,1,1,05/04/2020,05/22/2020,0,0,1
Kentucky,KY,,03/06/2020,0,03/17/2020,03/23/2020,06/08/2020,0,0,06/29/2020,03/26/2020,08/11/2020,05/11/2020,0,07/10/2020,0,1,0,0,0,0,1,03/16/2020,03/19/2020,1,0,03/16/2020,05/22/2020,0,03/18/2020,06/01/2020,03/18/2020,06/01/2020,03/16/2020,06/29/2020,05/25/2020,05/09/2020,05/20/2020,05/28/2021,07/28/2020,07/28/2020,0,0,0,11/20/2020,12/13/2020,08/11/2020,0,0,11/20/2020,0,12/13/2020,0,0,04/02/2020,05/06/2020,4468402,0,0,0,0,0,0,0
Louisiana,LA,,03/11/2020,0,03/16/2020,0,0,03/12/2020,03/23/2020,05/15/2020,03/23/2020,0,05/01/2020,0,08/07/2020,0,1,1,0,04/28/2021,0,1,03/16/2020,03/16/2020,1,1,03/17/2020,05/01/2020,1,03/17/2020,05/15/2020,03/17/2020,05/15/2020,03/17/2020,06/05/2020,05/15/2020,05/15/2020,05/15/2020,0,07/13/2020,07/13/2020,0,0,0,0,0,03/03/2021,0,0,0,0,0,0,0,0,0,4659978,1,1,03/17/2020,05/18/2020,0,0,0
Maine,ME,,03/15/2020,0,04/02/2020,0,0,0,04/02/2020,05/31/2020,03/25/2020,11/20/2020,05/01/2020,0,05/01/2020,0,1,1,0,05/24/2021,0,1,03/18/2020,03/18/2020,1,1,03/18/2020,06/01/2020,1,03/25/2020,06/17/2020,03/25/2020,07/01/2020,03/18/2020,03/26/2021,06/17/2020,05/29/2020,06/01/2020,02/01/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06/12/2020,04/03/2020,05/01/2021,1338404,1,1,0,0,0,0,0
